code,term
1054331000000109,Provision of information about infant safe sleeping
105491000119107,Primary hyposomnia
105521000119109,Organic mixed sleep disorder
1057371000000102,Signposting to the Sleep Council
106021008,Finding of sleep rest pattern
106168000,Finding related to sleep
1069241000000104,Does not sleep without sedation
1069491000000105,Does sleep
1069501000000104,Does sleep without sedation
1070941000000105,Difficulty sleeping with sedation
1070951000000108,Difficulty sleeping without sedation
1072611000000100,Does not sleep
1072621000000106,Does not sleep with sedation
1074261000000105,Does sleep with sedation
1075841000000106,Unable to sleep with sedation
1075851000000109,Unable to sleep without sedation
1091401000000101,Referral to rough sleeper outreach service
118190003,Sleep finding
12262002,Restless sleep
122711000119109,Hypnic headache
130989002,Sleep deprivation
139485005,Insomnia (& symptom) or somnolence
139500000,Poor sleep pattern
141000119100,Daytime somnolence
154927001,Sleep disorders (& [insomnia] or [nightmares] or [sleepwalking (& somnambulism)])
158124004,[D]Somnolence
158149000,[D]Sleep disturbances (& [hypersomnia] or [insomnia])
158150000,"[D]Sleep disturbance, unspecified"
158152008,[D]Insomnia
158154009,[D]Hypersomnia
158155005,[D]Sleep rhythm inversion
158156006,[D]Sleep rhythm irregular
158157002,[D]Sleep-wake rhythm non-24-hour cycle
158158007,[D]Sleep dysfunction with sleep stage disturbance
158159004,[D]Sleep dysfunction with arousal disturbance
158160009,[D]Sleep dysfunction NEC
162201008,Insomnia (& C/O)
162202001,Initial insomnia
162203006,Middle insomnia
162204000,Late insomnia
162224001,Poor sleep pattern
177841000000108,Light sleep
186211000000101,Light sleep
189651000000108,Light sleep
191994005,Non-organic sleep disorders (& [hypersomnia] or [insomnia])
191995006,Unspecified non-organic sleep disorder
191996007,Insomnia: [transient] or [NOS]
191997003,Persistent insomnia
191998008,Hypersomnia: [transient] or [NOS]
191999000,Persistent hypersomnia
192003008,Sleep drunkenness
192004002,Repeated rapid eye movement sleep interruptions
192005001,Other sleep stage or arousal dysfunction
192006000,(Repetitive intrusions of sleep) or (restless sleep)
192007009,Short-sleeper
192008004,Reversed sleep-wake cycle
192009007,(Dreams) or (other non-organic sleep disorder)
192010002,Non-organic sleep disorder NOS
192453005,Non-organic sleep disorder
192454004,Nonorganic insomnia
192455003,Hypersomnia of non-organic origin
192456002,[X] Nonorganic disorder of the sleep-wake schedule: [psychogenic inversion of circadian rhythm (including nyctohemeral rhythm and sleep rhythm)]
192457006,Sleepwalking
192460004,[X]Other nonorganic sleep disorders
192462007,"[X]Nonorganic sleep disorder, unspecified"
193462001,Insomnia
194436004,Sleep-wake disorder
194437008,Disorders of initiating and maintaining sleep
194439006,Disorders of excessive somnolence
194440008,Disorder of sleep-wake cycle
194498000,[X]Other sleep disorders
198437004,Menopausal sleeplessness
206712002,[D]Somnolence
206746001,[D]Sleep disturbances
206747005,"[D]Sleep disturbance, unspecified"
206749008,[D]Insomnia NOS
206751007,[D]Hypersomnia NOS
206752000,[D]Sleep rhythm inversion
206753005,[D]Sleep rhythm irregular
206754004,[D]Sleep-wake rhythm non-24-hour cycle
206755003,[D]Sleep dysfunction with sleep stage disturbance
206756002,[D]Sleep dysfunction with arousal disturbance
206757006,[D]Sleep dysfunction NOS
224961000,Ability to sleep
225206006,Sleep and rest interventions
230445007,Nocturnal epilepsy
230484002,Insomnia NOS
230485001,Nonorganic insomnia
230486000,Hypersomnia NOS
230488004,Hypersomnia of non-organic origin
230489007,Excessive daytime sleepiness - normal night sleep
230490003,Excessive day and night-time sleepiness
230491004,Postviral excessive daytime sleepiness
230492006,Excessive daytime sleepiness with sleep paralysis
230495008,Transient sleep-wake rhythm disorder
230496009,Non-24 hour sleep-wake cycle
230500006,Sleep-related dystonia
23871000119106,Somnambulism co-occurrent with sleep terror disorder
24121004,Insomnia disorder related to another mental disorder
242101000000103,Pain onset during sleep
247950007,Sleep behavior finding
247955002,Low level of awareness while sleep walking
247956001,Low level of reactivity while sleep walking
247957005,Low level of motor skill while sleep walking
247958000,"Blank, staring face while sleep walking"
247959008,Unresponsive to communication while sleep walking
247960003,Not easily wakened from sleep walking
247961004,No recollection of sleep walk
247962006,Sleep automatism
248218005,Awake
248219002,Keeps falling asleep
248220008,Asleep
248254009,Quality of sleep
248255005,Cannot sleep at all
248256006,Not getting enough sleep
248257002,Wakes and cannot sleep again
248258007,Circumstances interfere with sleep
248259004,Symptoms interfere with sleep
248260009,Unrefreshed by sleep
248261008,Oversleeps
248262001,Always sleepy
251453002,Small sharp transients during sleep
255377004,Waking
258158006,"Sleep, function"
26677001,Sleep pattern disturbance
267172002,Insomnia (& symptom) or somnolence
268652009,Transient insomnia
268653004,Transient hypersomnia
268654005,Repetitive intrusions of sleep
268655006,Other non-organic sleep disorder
268722008,Non-organic disorder of the sleep-wake schedule
268775007,Sleep disorders (& [insomnia] or [nightmares] or [sleepwalking (& somnambulism)])
268892009,[D]Sleep dysfunction NEC
270478005,Insomnia
270487001,Non-organic sleep disorder
270961006,[D]Sleep disturbances (& [hypersomnia] or [insomnia])
271782001,Drowsy
271793004,Irregular sleep-wake pattern
271794005,Disorder of sleep-wake cycle
272025006,Complaining of insomnia
272026007,Complaining of somnolence
274233003,[D]Insomnia
274950005,Sleep related bruxism
277180005,Sleep paralysis
277181009,Sleep starts
27971000119105,Insomnia co-occurrent and due to medical condition
28011000119104,"Sleep-wake schedule disorder, delayed phase"
284091004,Sleepy
288081000119106,"Behavioral insomnia of childhood, combined type"
288091000119109,"Behavioral insomnia of childhood, limit setting type"
288101000119104,"Behavioral insomnia of childhood, sleep onset association type"
288421000119100,Hyposomnia co-occurrent and due to psychological disorder
29373008,Light sleep
301345002,Difficulty sleeping
309609009,Temporal periods relating to sleep
309732001,[D]Hypersomnia
31491000119109,Disruptions of 24 hour sleep-wake cycle
314938000,Poor sleep pattern
31537005,"Sleep-wake schedule disorder, advanced phase type"
31771000119102,Daytime hypersomnia
3277001,Terminal mood insomnia
342761000000108,Waking patient up
346781000000103,Disturbing sleep
347641000000101,Leaving to sleep
